Bus address,Length (bytes),State object path
0x1F80_1DC8,0x0000_0002,spu.vcomb2
0x1F80_1DCA,0x0000_0002,spu.vcomb3
0x1F80_1DCC,0x0000_0002,spu.vcomb4
0x1F80_1DCE,0x0000_0002,spu.vwall
0x1F80_1DD0,0x0000_0002,spu.vapf1
0x1F80_1DD2,0x0000_0002,spu.vapf2
0x1F80_1DD4,0x0000_0004,spu.msame
0x1F80_1DD8,0x0000_0004,spu.mcomb1
0x1F80_1DDC,0x0000_0004,spu.mcomb2
0x1F80_1DE0,0x0000_0004,spu.dsame
0x1F80_1DE4,0x0000_0004,spu.mdiff
0x1F80_1DE8,0x0000_0004,spu.mcomb3
0x1F80_1DEC,0x0000_0004,spu.mcomb4
0x1F80_1DF0,0x0000_0004,spu.ddiff
0x1F80_1DF4,0x0000_0004,spu.mapf1
0x1F80_1DF8,0x0000_0004,spu.mapf2
0x1F80_1DFC,0x0000_0004,spu.vin
0x1F80_2041,0x0000_0001,post_display
0x1FC0_0000,0x0008_0000,bios
0xFFFE_0000,0x0002_0000,memory_control.cache_control
